density,alcohol,citric_acid,residual_sugar,pH,type,quality
3.410063621,2.043478261,2.951807229,3.774539877,2.953488372,0,3
2.195488722,2.956521739,2.843373494,1.13803681,5.046511628,0,3
2.386350492,3.739130435,3.168674699,1.869631902,4.76744186,0,3
2.473105842,3.47826087,2.734939759,2.090490798,4.279069767,0,3
2.473105842,3.47826087,2.734939759,2.090490798,4.279069767,0,3
2.386350492,3.739130435,3.168674699,1.869631902,4.76744186,0,3
2.351648352,3.086956522,1.86746988,1.883435583,4.209302326,0,3
3.410063621,2.043478261,2.951807229,3.774539877,2.953488372,0,3
2.195488722,2.956521739,2.843373494,1.13803681,5.046511628,0,3
2.160786582,4.913043478,3.331325301,1.124233129,4.488372093,0,3
1.640254482,6.217391304,3.222891566,1.117331288,2.88372093,0,2
2.316946212,3.217391304,3.168674699,1.496932515,3.930232558,0,2
1.848467322,4.652173913,3.006024096,1.082822086,4.209302326,0,2
1.709658762,6.739130435,3.168674699,1.124233129,6.720930233,0,4
3.271255061,3.217391304,4.361445783,3.574386503,2.813953488,0,2
1.744360902,5.434782609,3.060240964,1.124233129,4.697674419,0,4
1.987275882,3.086956522,1.21686747,1.069018405,4.627906977,0,3
1.362637363,7.260869565,3.602409639,1.082822086,5.255813953,0,5
1.796414112,5.304347826,3.277108434,1.069018405,3.790697674,0,3
2.455754772,2.956521739,1.759036145,1.952453988,4.488372093,0,2
1.362637363,7.260869565,3.602409639,1.082822086,5.255813953,0,5
1.709658762,4.913043478,3.060240964,1.317484663,4.139534884,0,4
2.021978022,4.260869565,3.277108434,1.151840491,6.23255814,0,5
2.143435512,2.695652174,1.759036145,1.124233129,3.302325581,0,2
2.386350492,3.608695652,3.222891566,1.096625767,5.88372093,0,3
2.455754772,4.130434783,2.734939759,2.159509202,4.697674419,0,3
2.021978022,3.608695652,2.897590361,1.055214724,6.093023256,0,3
2.559861191,4.260869565,3.114457831,2.11809816,5.604651163,0,3
1.744360902,5.695652174,3.602409639,1.069018405,4.279069767,0,3
1.605552342,6.608695652,2.951807229,1.193251534,3.651162791,0,4
2.785425101,3.608695652,3.114457831,2.352760736,4.348837209,0,3
2.091382302,3.869565217,2.843373494,1.069018405,6.23255814,0,3
1.848467322,4.652173913,2.951807229,1.200153374,4.279069767,0,3
2.178137652,2.304347826,2.843373494,1.124233129,5.88372093,0,3
2.577212261,3.869565217,2.084337349,2.980828221,5.534883721,0,2
1.588201272,7.260869565,3.331325301,1.151840491,4.279069767,0,2
2.091382302,3.608695652,2.246987952,1.662576687,4.627906977,0,2
1.605552342,5.173913043,2.734939759,1.082822086,3.860465116,0,3
3.219201851,1.782608696,3.114457831,3.39493865,4.418604651,0,2
3.219201851,1.782608696,3.114457831,3.39493865,4.418604651,0,2
2.143435512,2.826086957,3.114457831,1.262269939,3.720930233,0,3
2.143435512,2.826086957,3.114457831,1.317484663,3.651162791,0,3
2.438403702,3.347826087,2.409638554,1.938650307,3.860465116,0,3
2.091382302,2.956521739,2.463855422,1.110429448,4.488372093,0,3
2.091382302,2.956521739,2.409638554,1.110429448,4.627906977,0,3
2.039329092,3.608695652,2.680722892,1.110429448,4.069767442,0,4
2.195488722,3.347826087,2.409638554,1.524539877,4.837209302,0,1
2.178137652,3.347826087,2.355421687,1.524539877,4.697674419,0,2
2.438403702,3.347826087,2.409638554,1.938650307,3.860465116,0,3
2.368999422,3.347826087,2.897590361,1.607361963,5.465116279,0,2
1.796414112,5.826086957,2.680722892,1.13803681,5.395348837,0,3
1.744360902,4.913043478,2.572289157,1.069018405,5.325581395,0,4
1.674956622,4.782608696,2.789156627,1.069018405,5.186046512,0,4
1.692307692,4.782608696,2.897590361,1.055214724,5.11627907,0,3
2.021978022,2.434782609,4.198795181,1.041411043,3.302325581,0,3
1.640254482,4.913043478,2.897590361,1.096625767,3.860465116,0,3
2.577212261,3.086956522,2.843373494,2.559815951,3.581395349,0,3
2.750722961,2.173913043,2.409638554,2.628834356,5.046511628,0,3
2.039329092,3.869565217,1.813253012,1.552147239,3.720930233,0,3
1.952573742,3.47826087,2.951807229,1.082822086,5.465116279,0,3
2.386350492,1.782608696,2.301204819,1.593558282,3.162790698,0,3
2.750722961,2.173913043,2.409638554,2.628834356,5.046511628,0,3
1.674956622,4.260869565,1.379518072,1.069018405,3.093023256,0,2
2.039329092,3.869565217,1.813253012,1.552147239,3.720930233,0,3
1.969924812,4,2.463855422,1.110429448,4,0,3
2.091382302,2.434782609,1.162650602,1.082822086,4.488372093,0,2
1.553499132,7,2.301204819,1.800613497,4.488372093,0,4
1.848467322,3.347826087,1.704819277,1.082822086,3.930232558,0,2
1.952573742,4.52173913,2.680722892,1.207055215,5.255813953,0,5
2.577212261,2.956521739,2.572289157,2.311349693,3.860465116,0,2
2.473105842,2.304347826,3.331325301,1.993865031,3.651162791,0,3
2.507807981,2.956521739,2.246987952,1.552147239,5.186046512,0,2
2.611914401,3.608695652,2.518072289,1.579754601,7.76744186,0,2
2.212839792,2.434782609,3.493975904,1.055214724,2.604651163,0,3
1.952573742,4.52173913,2.680722892,1.207055215,5.255813953,0,5
2.577212261,2.956521739,2.572289157,2.311349693,3.860465116,0,2
1.466743783,7.130434783,2.951807229,1.110429448,4.76744186,0,4
1.709658762,6.217391304,2.843373494,1.096625767,5.11627907,0,4
2.559861191,2.695652174,2.626506024,2.13190184,2.534883721,0,2
2.351648352,2.304347826,2.518072289,1.662576687,4.837209302,0,2
2.004626952,4.391304348,2.680722892,1.110429448,5.674418605,0,3
2.976286871,2.565217391,2.843373494,3.125766871,4.418604651,0,3
2.299595142,3.608695652,2.084337349,1.759202454,4.139534884,0,2
2.646616541,2.956521739,2.626506024,2.049079755,5.255813953,0,3
2.785425101,1.913043478,4.307228916,2.54601227,3.720930233,0,2
2.802776171,1.913043478,4.361445783,2.54601227,3.790697674,0,3
2.785425101,1.913043478,4.415662651,2.435582822,3.581395349,0,3
2.750722961,3.217391304,2.680722892,2.753067485,4.488372093,0,3
2.785425101,1.913043478,4.307228916,2.54601227,3.720930233,0,2
2.802776171,1.913043478,4.361445783,2.54601227,3.790697674,0,3
2.785425101,1.913043478,4.415662651,2.435582822,3.581395349,0,3
2.490456912,2.304347826,3.331325301,1.952453988,3.790697674,0,2
1.501445922,7,2.789156627,1.151840491,4.76744186,0,4
1.484094853,7,2.789156627,1.165644172,4.697674419,0,4
1.779063042,5.565217391,2.734939759,1.151840491,4.418604651,0,4
2.698669751,2.565217391,2.572289157,2.628834356,3.23255814,0,3
2.872180451,2.043478261,4.578313253,3.11196319,3.930232558,0,3
1.727009832,5.434782609,2.951807229,1.082822086,2.604651163,0,4
2.473105842,3.739130435,3.493975904,2.366564417,2.186046512,0,1
2.872180451,2.043478261,4.578313253,3.11196319,3.930232558,0,3
2.802776171,2.434782609,3.006024096,2.780674847,2.953488372,0,2
2.577212261,2.826086957,2.734939759,2.242331288,5.744186047,0,2
2.716020821,2.826086957,2.301204819,2.587423313,5.325581395,0,2
